initial_FB,initial_BM,id,#FB,#BM,day,exp,FB_type,collagen,plate,change_medium,strain,outlier,medium
100,100,100_100,100,100.0,0,2,nmf,1,96,0,balb,0,dmem10
300,100,300_100,300,100.0,0,2,nmf,1,96,0,balb,0,dmem10
1000,100,1000_100,1000,100.0,0,2,nmf,1,96,0,balb,0,dmem10
4000,100,4000_100,4000,100.0,0,2,nmf,1,96,0,balb,0,dmem10
10000,100,10000_100,10000,100.0,0,2,nmf,1,96,0,balb,0,dmem10
40000,100,40000_100,40000,100.0,0,2,nmf,1,96,0,balb,0,dmem10
70000,100,70000_100,70000,100.0,0,2,nmf,1,96,0,balb,0,dmem10
100000,100,100000_100,100000,100.0,0,2,nmf,1,96,0,balb,0,dmem10
100,300,100_300,100,300.0,0,2,nmf,1,96,0,balb,0,dmem10
300,300,300_300,300,300.0,0,2,nmf,1,96,0,balb,0,dmem10
1000,300,1000_300,1000,300.0,0,2,nmf,1,96,0,balb,0,dmem10
4000,300,4000_300,4000,300.0,0,2,nmf,1,96,0,balb,0,dmem10
10000,300,10000_300,10000,300.0,0,2,nmf,1,96,0,balb,0,dmem10
40000,300,40000_300,40000,300.0,0,2,nmf,1,96,0,balb,0,dmem10
70000,300,70000_300,70000,300.0,0,2,nmf,1,96,0,balb,0,dmem10
100000,300,100000_300,100000,300.0,0,2,nmf,1,96,0,balb,0,dmem10
100,1000,100_1000,100,1000.0,0,2,nmf,1,96,0,balb,0,dmem10
300,1000,300_1000,300,1000.0,0,2,nmf,1,96,0,balb,0,dmem10
1000,1000,1000_1000,1000,1000.0,0,2,nmf,1,96,0,balb,0,dmem10
4000,1000,4000_1000,4000,1000.0,0,2,nmf,1,96,0,balb,0,dmem10
10000,1000,10000_1000,10000,1000.0,0,2,nmf,1,96,0,balb,0,dmem10
40000,1000,40000_1000,40000,1000.0,0,2,nmf,1,96,0,balb,0,dmem10
70000,1000,70000_1000,70000,1000.0,0,2,nmf,1,96,0,balb,0,dmem10
100000,1000,100000_1000,100000,1000.0,0,2,nmf,1,96,0,balb,0,dmem10
100,4000,100_4000,100,4000.0,0,2,nmf,1,96,0,balb,0,dmem10
300,4000,300_4000,300,4000.0,0,2,nmf,1,96,0,balb,0,dmem10
1000,4000,1000_4000,1000,4000.0,0,2,nmf,1,96,0,balb,0,dmem10
4000,4000,4000_4000,4000,4000.0,0,2,nmf,1,96,0,balb,0,dmem10
10000,4000,10000_4000,10000,4000.0,0,2,nmf,1,96,0,balb,0,dmem10
40000,4000,40000_4000,40000,4000.0,0,2,nmf,1,96,0,balb,0,dmem10
70000,4000,70000_4000,70000,4000.0,0,2,nmf,1,96,0,balb,0,dmem10
100,10000,100_10000,100,10000.0,0,2,nmf,1,96,0,balb,0,dmem10
300,10000,300_10000,300,10000.0,0,2,nmf,1,96,0,balb,0,dmem10
1000,10000,1000_10000,1000,10000.0,0,2,nmf,1,96,0,balb,0,dmem10
4000,10000,4000_10000,4000,10000.0,0,2,nmf,1,96,0,balb,0,dmem10
10000,10000,10000_10000,10000,10000.0,0,2,nmf,1,96,0,balb,0,dmem10
40000,10000,40000_10000,40000,10000.0,0,2,nmf,1,96,0,balb,0,dmem10
70000,10000,70000_10000,70000,10000.0,0,2,nmf,1,96,0,balb,0,dmem10
100,40000,100_40000,100,40000.0,0,2,nmf,1,96,0,balb,0,dmem10
300,40000,300_40000,300,40000.0,0,2,nmf,1,96,0,balb,0,dmem10
1000,40000,1000_40000,1000,40000.0,0,2,nmf,1,96,0,balb,0,dmem10
4000,40000,4000_40000,4000,40000.0,0,2,nmf,1,96,0,balb,0,dmem10
10000,40000,10000_40000,10000,40000.0,0,2,nmf,1,96,0,balb,0,dmem10
40000,40000,40000_40000,40000,40000.0,0,2,nmf,1,96,0,balb,0,dmem10
70000,40000,70000_40000,70000,40000.0,0,2,nmf,1,96,0,balb,0,dmem10
100000,40000,100000_40000,100000,40000.0,0,2,nmf,1,96,0,balb,0,dmem10
100,70000,100_70000,100,70000.0,0,2,nmf,1,96,0,balb,0,dmem10
300,70000,300_70000,300,70000.0,0,2,nmf,1,96,0,balb,0,dmem10
1000,70000,1000_70000,1000,70000.0,0,2,nmf,1,96,0,balb,0,dmem10
4000,70000,4000_70000,4000,70000.0,0,2,nmf,1,96,0,balb,0,dmem10
10000,70000,10000_70000,10000,70000.0,0,2,nmf,1,96,0,balb,0,dmem10
40000,70000,40000_70000,40000,70000.0,0,2,nmf,1,96,0,balb,0,dmem10
70000,70000,70000_70000,70000,70000.0,0,2,nmf,1,96,0,balb,0,dmem10
100000,70000,100000_70000,100000,70000.0,0,2,nmf,1,96,0,balb,0,dmem10
100,100000,100_100000,100,100000.0,0,2,nmf,1,96,0,balb,0,dmem10
300,100000,300_100000,300,100000.0,0,2,nmf,1,96,0,balb,0,dmem10
1000,100000,1000_100000,1000,100000.0,0,2,nmf,1,96,0,balb,0,dmem10
4000,100000,4000_100000,4000,100000.0,0,2,nmf,1,96,0,balb,0,dmem10
10000,100000,10000_100000,10000,100000.0,0,2,nmf,1,96,0,balb,0,dmem10
40000,100000,40000_100000,40000,100000.0,0,2,nmf,1,96,0,balb,0,dmem10
70000,100000,70000_100000,70000,100000.0,0,2,nmf,1,96,0,balb,0,dmem10
100000,100000,100000_100000,100000,100000.0,0,2,nmf,1,96,0,balb,0,dmem10
100,0,100_0,100,0.0,0,2,nmf,1,96,0,balb,0,dmem10
300,0,300_0,300,0.0,0,2,nmf,1,96,0,balb,0,dmem10
1000,0,1000_0,1000,0.0,0,2,nmf,1,96,0,balb,0,dmem10
4000,0,4000_0,4000,0.0,0,2,nmf,1,96,0,balb,0,dmem10
10000,0,10000_0,10000,0.0,0,2,nmf,1,96,0,balb,0,dmem10
40000,0,40000_0,40000,0.0,0,2,nmf,1,96,0,balb,0,dmem10
70000,0,70000_0,70000,0.0,0,2,nmf,1,96,0,balb,0,dmem10
100000,0,100000_0,100000,0.0,0,2,nmf,1,96,0,balb,0,dmem10
0,100,0_100,0,100.0,0,2,nmf,1,96,0,balb,0,dmem10
0,300,0_300,0,300.0,0,2,nmf,1,96,0,balb,0,dmem10
0,1000,0_1000,0,1000.0,0,2,nmf,1,96,0,balb,0,dmem10
0,4000,0_4000,0,4000.0,0,2,nmf,1,96,0,balb,0,dmem10
0,10000,0_10000,0,10000.0,0,2,nmf,1,96,0,balb,0,dmem10
0,40000,0_40000,0,40000.0,0,2,nmf,1,96,0,balb,0,dmem10
0,70000,0_70000,0,70000.0,0,2,nmf,1,96,0,balb,0,dmem10
0,100000,0_100000,0,100000.0,0,2,nmf,1,96,0,balb,0,dmem10
100,100,100_100,12,8.0,3,2,nmf,1,96,0,balb,0,dmem10
300,100,300_100,20,8.0,3,2,nmf,1,96,0,balb,0,dmem10
1000,100,1000_100,114,8.0,3,2,nmf,1,96,0,balb,0,dmem10
4000,100,4000_100,1086,17.0,3,2,nmf,1,96,0,balb,0,dmem10
10000,100,10000_100,1905,24.0,3,2,nmf,1,96,0,balb,0,dmem10
40000,100,40000_100,4098,26.0,3,2,nmf,1,96,0,balb,0,dmem10
70000,100,70000_100,8253,55.0,3,2,nmf,1,96,0,balb,0,dmem10
100000,100,100000_100,11003,49.0,3,2,nmf,1,96,0,balb,0,dmem10
100,300,100_300,17,3.0,3,2,nmf,1,96,0,balb,0,dmem10
300,300,300_300,37,3.0,3,2,nmf,1,96,0,balb,0,dmem10
1000,300,1000_300,76,1.0,3,2,nmf,1,96,0,balb,0,dmem10
4000,300,4000_300,253,5.0,3,2,nmf,1,96,0,balb,0,dmem10
10000,300,10000_300,573,7.0,3,2,nmf,1,96,0,balb,0,dmem10
40000,300,40000_300,3339,44.0,3,2,nmf,1,96,0,balb,0,dmem10
70000,300,70000_300,7459,40.0,3,2,nmf,1,96,0,balb,0,dmem10
100000,300,100000_300,11392,35.0,3,2,nmf,1,96,0,balb,0,dmem10
100,1000,100_1000,59,83.0,3,2,nmf,1,96,0,balb,0,dmem10
300,1000,300_1000,108,49.0,3,2,nmf,1,96,0,balb,0,dmem10
1000,1000,1000_1000,199,59.0,3,2,nmf,1,96,0,balb,0,dmem10
4000,1000,4000_1000,708,61.0,3,2,nmf,1,96,0,balb,0,dmem10
10000,1000,10000_1000,1605,97.0,3,2,nmf,1,96,0,balb,0,dmem10
40000,1000,40000_1000,9551,327.0,3,2,nmf,1,96,0,balb,0,dmem10
70000,1000,70000_1000,23233,607.0,3,2,nmf,1,96,0,balb,0,dmem10
100000,1000,100000_1000,28191,540.0,3,2,nmf,1,96,0,balb,0,dmem10
100,4000,100_4000,20,23.0,3,2,nmf,1,96,0,balb,0,dmem10
300,4000,300_4000,84,76.0,3,2,nmf,1,96,0,balb,0,dmem10
1000,4000,1000_4000,252,98.0,3,2,nmf,1,96,0,balb,0,dmem10
4000,4000,4000_4000,2710,382.0,3,2,nmf,1,96,0,balb,0,dmem10
10000,4000,10000_4000,4948,425.0,3,2,nmf,1,96,0,balb,0,dmem10
40000,4000,40000_4000,11323,787.0,3,2,nmf,1,96,0,balb,0,dmem10
70000,4000,70000_4000,12899,433.0,3,2,nmf,1,96,0,balb,0,dmem10
100,10000,100_10000,13,67.0,3,2,nmf,1,96,0,balb,0,dmem10
300,10000,300_10000,41,193.0,3,2,nmf,1,96,0,balb,0,dmem10
1000,10000,1000_10000,179,251.0,3,2,nmf,1,96,0,balb,0,dmem10
4000,10000,4000_10000,607,325.0,3,2,nmf,1,96,0,balb,0,dmem10
10000,10000,10000_10000,2755,552.0,3,2,nmf,1,96,0,balb,0,dmem10
40000,10000,40000_10000,9164,778.0,3,2,nmf,1,96,0,balb,0,dmem10
70000,10000,70000_10000,15884,1156.0,3,2,nmf,1,96,0,balb,0,dmem10
100,40000,100_40000,77,136.0,3,2,nmf,1,96,0,balb,0,dmem10
300,40000,300_40000,84,233.0,3,2,nmf,1,96,0,balb,0,dmem10
1000,40000,1000_40000,443,542.0,3,2,nmf,1,96,0,balb,0,dmem10
4000,40000,4000_40000,754,624.0,3,2,nmf,1,96,0,balb,0,dmem10
10000,40000,10000_40000,2027,718.0,3,2,nmf,1,96,0,balb,0,dmem10
40000,40000,40000_40000,6632,1336.0,3,2,nmf,1,96,0,balb,0,dmem10
70000,40000,70000_40000,11192,1920.0,3,2,nmf,1,96,0,balb,0,dmem10
100000,40000,100000_40000,6318,1169.0,3,2,nmf,1,96,0,balb,0,dmem10
100,70000,100_70000,211,1429.0,3,2,nmf,1,96,0,balb,0,dmem10
300,70000,300_70000,502,1695.0,3,2,nmf,1,96,0,balb,0,dmem10
1000,70000,1000_70000,920,2431.0,3,2,nmf,1,96,0,balb,0,dmem10
4000,70000,4000_70000,2811,3486.0,3,2,nmf,1,96,0,balb,0,dmem10
10000,70000,10000_70000,6917,2909.0,3,2,nmf,1,96,0,balb,0,dmem10
40000,70000,40000_70000,22426,10028.0,3,2,nmf,1,96,0,balb,0,dmem10
70000,70000,70000_70000,18204,5661.0,3,2,nmf,1,96,0,balb,0,dmem10
100000,70000,100000_70000,18083,5658.0,3,2,nmf,1,96,0,balb,0,dmem10
100,100000,100_100000,115,888.0,3,2,nmf,1,96,0,balb,0,dmem10
300,100000,300_100000,448,2945.0,3,2,nmf,1,96,0,balb,0,dmem10
1000,100000,1000_100000,392,1452.0,3,2,nmf,1,96,0,balb,0,dmem10
4000,100000,4000_100000,1399,2456.0,3,2,nmf,1,96,0,balb,0,dmem10
10000,100000,10000_100000,2699,2332.0,3,2,nmf,1,96,0,balb,0,dmem10
40000,100000,40000_100000,7961,2753.0,3,2,nmf,1,96,0,balb,0,dmem10
70000,100000,70000_100000,9433,2723.0,3,2,nmf,1,96,0,balb,0,dmem10
100000,100000,100000_100000,10049,2884.0,3,2,nmf,1,96,0,balb,0,dmem10
100,0,100_0,54,0.0,3,2,nmf,1,96,0,balb,0,dmem10
300,0,300_0,18,0.0,3,2,nmf,1,96,0,balb,0,dmem10
1000,0,1000_0,68,0.0,3,2,nmf,1,96,0,balb,0,dmem10
4000,0,4000_0,334,0.0,3,2,nmf,1,96,0,balb,0,dmem10
10000,0,10000_0,859,0.0,3,2,nmf,1,96,0,balb,0,dmem10
40000,0,40000_0,3219,0.0,3,2,nmf,1,96,0,balb,0,dmem10
70000,0,70000_0,6743,0.0,3,2,nmf,1,96,0,balb,0,dmem10
100000,0,100000_0,10800,0.0,3,2,nmf,1,96,0,balb,0,dmem10
